Time,Id,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Label
1010000000.0,00E,20,52,96,02,08,09,75,B8,Benign
1010000000.00107,153,00,00,00,04,00,0C,00,04,Benign
1010000000.00209,295,00,00,00,00,00,00,00,40,Benign
1010000000.002091,662,4E,E0,00,00,40,00,00,00,Benign
1010000000.002092,19C,08,F6,20,00,02,00,28,C0,Benign
1010000000.002093,0D0,22,77,04,60,F8,00,00,00,Benign
1010000000.003084,033,00,07,C0,00,0D,00,07,D0,Benign
1010000000.003085,274,00,F2,24,FB,50,7C,81,DD,Benign
1010000000.003086,0C0,00,00,00,00,00,00,00,00,Benign
1010000000.003087,30A,40,2D,50,01,D3,2A,32,00,Benign
1010000000.004148,193,00,08,08,03,E8,88,00,00,Benign
1010000000.00415,20E,4E,20,03,A0,00,3F,6F,FF,Benign
1010000000.004151,522,DF,7F,D1,AC,4D,C8,DF,9C,Benign
1010000000.004152,366,7F,DD,C8,02,01,47,CE,78,Benign
1010000000.005223,354,1F,FF,40,00,00,03,FA,00,Benign
1010000000.005224,5E1,89,3F,E0,0B,0A,00,00,80,Benign
1010000000.005225,28B,00,00,00,00,00,00,00,00,Benign
1010000000.005226,580,00,00,00,03,B4,88,00,00,Benign
1010000000.006218,434,03,82,A0,A0,00,00,00,00,Benign
1010000000.00622,6E0,00,00,00,00,00,00,00,00,Benign
1010000000.006221,0A7,20,10,FA,24,D1,2B,80,A0,Benign
1010000000.006222,2B4,14,E9,95,00,00,00,58,00,Benign
1010000000.00716,1CA,3F,F1,FF,80,00,00,0C,38,Benign
1010000000.007162,1C4,00,00,02,00,01,00,00,00,Benign
1010000000.007167,2A4,36,DC,00,1C,04,08,98,D0,Benign
1010000000.007168,498,87,FF,BF,FC,EE,80,00,0E,Benign
1010000000.007169,32D,80,00,04,20,AC,01,00,20,Benign
1010000000.008213,4FD,11,5F,0A,4E,7F,12,47,88,Benign
1010000000.008214,230,9B,00,1A,C2,94,00,12,00,Benign
1010000000.008215,69E,04,40,04,7F,1F,C0,13,E2,Benign
1010000000.008216,FFF,00,00,00,00,00,00,00,00,Benign
1010000000.009208,125,90,00,40,9F,42,BE,31,60,Benign
1010000000.010242,00E,20,52,96,02,08,09,75,B2,Benign
1010000000.011278,0D0,2A,77,04,60,F7,00,00,00,Benign
1010000000.01228,033,00,07,B8,00,0D,40,07,D0,Benign
1010000000.012281,577,00,00,08,00,00,00,01,1A,Benign
1010000000.012282,107,00,00,00,00,00,00,00,00,Benign
1010000000.012283,FFF,00,00,00,00,00,00,00,00,Benign
1010000000.013299,6E0,00,00,00,00,00,00,00,00,Benign
1010000000.014362,2E1,00,00,00,00,00,00,00,04,Benign
1010000000.014363,354,1F,FF,40,00,00,03,EB,00,Benign
1010000000.015336,5E1,89,3F,E0,0B,0A,00,00,80,Benign
1010000000.015352,162,00,08,00,03,EA,11,F4,CE,Benign
1010000000.015353,0A7,20,10,FA,24,D1,2B,80,A0,Benign
1010000000.015354,2A3,00,00,00,03,FE,80,4E,00,Benign
1010000000.017812,125,90,00,40,9F,42,BE,13,60,Benign
1010000000.018833,26E,01,06,40,82,89,0E,0A,04,Benign
1010000000.019833,FFF,00,00,00,00,00,00,00,00,Benign
1010000000.020855,00E,20,52,96,02,08,09,75,B2,Benign
1010000000.020856,3C1,7B,55,1F,BB,30,F4,A9,2E,Benign
1010000000.021871,153,00,00,00,04,00,0C,00,04,Benign
1010000000.021872,662,4E,E0,00,00,40,00,00,00,Benign
1010000000.021873,19C,0C,F2,20,00,02,00,28,C0,Benign
1010000000.021874,0D0,32,77,04,60,F6,00,00,00,Benign
1010000000.02284,033,00,07,B0,00,0D,80,07,D0,Benign
1010000000.022842,274,00,F2,26,F9,50,7C,81,DD,Benign
1010000000.022843,0C0,00,00,00,00,00,00,00,00,Benign
1010000000.022844,025,00,00,02,88,40,3E,22,01,Benign
1010000000.023955,193,00,08,08,03,E8,88,00,00,Benign
1010000000.023956,20E,4E,20,03,A0,00,3F,8F,FF,Benign
1010000000.023957,522,DF,7F,D1,AC,4D,50,DE,DC,Benign
1010000000.024937,354,1F,FF,40,00,00,03,DC,00,Benign
1010000000.024954,5E1,89,3F,E0,0B,0A,00,00,80,Benign
1010000000.024955,28B,00,00,00,00,00,00,00,00,Benign
1010000000.024956,366,7F,DD,C8,02,01,47,CE,78,Benign
1010000000.025959,580,00,00,00,03,AD,08,00,00,Benign
1010000000.025974,434,03,AA,A0,A0,00,00,00,00,Benign
1010000000.025976,6E0,00,00,00,00,00,00,00,00,Benign
1010000000.025977,6FC,00,00,07,5B,12,B7,58,20,Benign
1010000000.026919,0A7,20,10,FA,24,D1,2B,80,A0,Benign
1010000000.02692,239,00,00,00,7D,00,00,42,00,Benign
1010000000.026921,498,87,FF,BF,FC,ED,80,00,0F,Benign
1010000000.026922,230,9A,00,1A,C2,94,00,14,00,Benign
1010000000.027937,69E,04,40,04,7F,20,00,13,E2,Benign
1010000000.028957,125,90,00,40,9F,42,BD,F5,60,Benign
1010000000.029976,00E,20,52,96,02,08,09,75,AC,Benign
1010000000.031081,295,00,00,00,00,00,00,00,40,Benign
1010000000.032098,0D0,3A,77,04,60,F5,00,00,00,Benign
1010000000.032099,033,00,07,A8,00,0D,C0,07,D0,Benign
1010000000.0321,107,00,00,00,00,00,00,00,00,Benign
1010000000.032101,FFF,00,00,00,00,00,00,00,00,Benign
1010000000.033106,0BA,05,D8,93,84,10,00,06,1E,Benign
1010000000.033107,0D7,00,00,02,00,80,00,00,00,Benign
1010000000.034153,6E0,00,00,00,00,00,00,00,00,Benign
1010000000.034154,2E1,00,00,00,00,00,00,00,04,Benign
1010000000.035153,354,1F,FF,40,00,00,03,DC,00,Benign
1010000000.035154,5E1,89,3F,E0,0B,0A,00,00,80,Benign
1010000000.035154,162,00,08,00,03,EA,11,F4,CE,Benign
1010000000.035155,0A7,20,10,FA,24,D1,2B,80,A0,Benign
1010000000.036187,497,00,00,00,00,00,00,00,00,Benign
1010000000.037808,125,90,00,40,9F,42,BD,D7,60,Benign
1010000000.038808,FFF,00,00,00,00,00,00,00,00,Benign
1010000000.039993,00E,20,52,96,02,08,09,75,B8,Benign
1010000000.04104,2E2,18,08,0D,40,40,00,01,18,Benign
1010000000.041041,345,05,02,02,C2,3C,77,40,81,Benign
1010000000.041042,430,00,30,44,8B,E0,80,10,A0,Benign
1010000000.041043,130,00,01,50,00,00,00,00,00,Benign
1010000000.042039,153,00,00,00,04,00,0C,00,04,Benign
1010000000.04204,662,4E,E0,00,00,40,00,00,00,Benign
1010000000.042041,19C,10,EE,20,00,02,00,28,C0,Benign
1010000000.042042,0D0,42,77,04,60,F4,00,00,00,Benign
1010000000.043019,033,00,07,A0,00,0E,00,07,D0,Benign
