Time,Id,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Label
1000000000.0,20E,4E,20,03,A0,C6,3F,8F,FF,Benign
1000000000.000002,522,DF,7F,D0,00,7F,08,00,1C,Benign
1000000000.000003,366,80,DD,C8,02,01,47,CE,38,Benign
1000000000.001,580,00,00,00,03,F0,88,00,00,Benign
1000000000.001001,0D0,42,75,04,64,6C,01,87,00,Benign
1000000000.001002,033,00,07,A0,00,0E,00,07,D0,Benign
1000000000.001003,434,01,05,A0,AA,1E,B0,28,C0,Benign
1000000000.001004,6E0,01,5E,01,5D,01,56,01,56,Benign
1000000000.002018,498,87,FF,BF,FC,69,80,62,88,Benign
1000000000.002019,230,FE,00,00,02,E4,00,02,00,Benign
1000000000.004125,2E1,00,00,00,00,00,00,00,04,Benign
1000000000.005142,354,20,07,C0,00,00,02,A6,00,Benign
1000000000.005143,5E1,89,3F,E0,0B,0A,00,DC,80,Benign
1000000000.005144,00E,20,52,56,02,08,09,76,02,Benign
1000000000.005145,162,00,08,03,83,EA,11,F4,CE,Benign
1000000000.006164,0A7,00,10,F9,A4,C1,2D,20,A0,Benign
1000000000.006165,2A3,00,00,00,84,12,80,3C,10,Benign
1000000000.006166,69E,04,40,04,82,20,00,15,A2,Benign
1000000000.007163,125,90,00,41,5F,43,7E,25,60,Benign
1000000000.008662,6E0,01,5D,01,5D,01,56,01,59,Benign
1000000000.010167,153,00,00,00,00,00,0C,00,02,Benign
1000000000.011223,295,00,00,00,00,00,00,18,40,Benign
1000000000.011235,662,4E,A0,00,00,40,00,00,00,Benign
1000000000.011236,107,00,00,00,00,00,00,00,00,Benign
1000000000.011237,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.012219,19C,12,86,20,0C,C2,00,28,A0,Benign
1000000000.01222,0D0,4A,75,04,64,69,01,89,00,Benign
1000000000.012221,033,00,07,98,00,0E,40,07,D0,Benign
1000000000.012222,274,00,F2,29,F3,50,7C,8E,43,Benign
1000000000.013241,0C0,60,00,00,00,00,00,00,00,Benign
1000000000.013242,0BA,06,C8,09,04,10,00,04,88,Benign
1000000000.013243,273,00,00,00,08,00,00,00,00,Benign
1000000000.013243,1C4,01,70,02,00,28,07,BE,02,Benign
1000000000.01424,2A4,36,DC,00,1C,04,08,98,D0,Benign
1000000000.014241,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.014242,371,01,06,00,00,00,00,08,80,Benign
1000000000.014243,67D,00,18,60,02,08,08,02,26,Benign
1000000000.015262,354,20,07,C0,00,00,02,A6,00,Benign
1000000000.015263,5E1,89,3F,E0,0B,0A,00,D8,80,Benign
1000000000.015264,00E,20,52,56,02,08,09,75,F6,Benign
1000000000.015265,28B,00,00,00,00,00,00,00,00,Benign
1000000000.016261,6FC,00,00,07,5F,B2,B8,D8,00,Benign
1000000000.016262,0A7,00,10,FB,A4,C1,2D,20,A0,Benign
1000000000.016263,239,00,00,00,73,C0,00,43,A0,Benign
1000000000.016264,125,90,00,41,5F,43,7E,07,60,Benign
1000000000.016265,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.017306,51B,28,42,A9,CA,3A,91,89,41,Benign
1000000000.017307,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.017308,32D,00,00,04,20,AC,01,00,20,Benign
1000000000.017309,0CC,43,41,01,B2,38,AF,A2,1E,Benign
1000000000.018312,2B4,14,E9,74,00,00,00,58,00,Benign
1000000000.018313,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.018328,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.018329,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.019327,5B3,04,00,00,00,00,00,04,00,Benign
1000000000.019328,3C1,7B,55,1F,BC,1D,C6,A9,2E,Benign
1000000000.019329,03C,00,00,04,00,2F,00,00,00,Benign
1000000000.01933,193,00,08,08,03,E8,88,00,00,Benign
1000000000.020334,20E,4E,20,07,A0,C6,BF,8F,FF,Benign
1000000000.020335,207,04,04,60,48,2A,DE,D5,18,Benign
1000000000.020336,522,DF,7F,D0,00,7E,90,00,1C,Benign
1000000000.020351,366,80,DD,C8,02,01,47,CE,38,Benign
1000000000.021351,0D0,52,75,04,64,68,01,89,00,Benign
1000000000.021353,033,00,07,90,00,0E,80,07,D0,Benign
1000000000.021368,580,00,00,00,03,E9,08,00,00,Benign
1000000000.021369,434,01,26,20,AA,2E,D0,38,D0,Benign
1000000000.02137,6E0,01,5D,01,5B,01,59,01,59,Benign
1000000000.022372,0D7,00,00,02,00,80,00,00,00,Benign
1000000000.022387,498,87,FF,BF,FC,65,80,63,49,Benign
1000000000.022388,4C9,01,F8,D5,82,0D,02,F6,4B,Benign
1000000000.022389,1D6,02,0F,82,80,30,24,05,80,Benign
1000000000.023326,577,00,00,08,00,00,00,01,4E,Benign
1000000000.023327,533,ED,7F,CF,7E,FF,F1,EF,7F,Benign
1000000000.023328,230,FD,00,00,02,E4,00,04,00,Benign
1000000000.024351,2E1,00,00,00,00,00,00,00,04,Benign
1000000000.024352,354,20,08,00,00,00,02,8F,00,Benign
1000000000.02535,5E1,89,3F,E0,0B,0A,00,D4,80,Benign
1000000000.025351,00E,20,52,56,02,08,09,75,F6,Benign
1000000000.025352,162,00,08,03,83,EA,11,F4,CE,Benign
1000000000.025353,0A7,00,10,FA,A4,C1,2D,40,A0,Benign
1000000000.02637,497,00,00,00,00,00,00,00,00,Benign
1000000000.026371,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.026372,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.026373,0F4,9A,0C,01,02,04,B1,02,40,Benign
1000000000.027365,69E,04,40,04,82,20,00,15,A2,Benign
1000000000.027366,125,90,00,41,5F,43,7D,E9,60,Benign
1000000000.028644,6E0,01,5D,01,5B,01,59,01,5B,Benign
1000000000.030185,153,00,00,00,00,00,0C,00,02,Benign
1000000000.03122,662,4E,A0,00,00,40,00,00,00,Benign
1000000000.031221,19C,16,82,20,0C,C2,00,28,A0,Benign
1000000000.031222,0D0,5A,75,04,64,64,01,8C,00,Benign
1000000000.031223,107,00,00,00,00,00,00,00,00,Benign
1000000000.032225,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.032244,033,00,07,88,00,0E,C0,07,D0,Benign
1000000000.032245,274,00,F2,2B,F1,50,7C,8E,43,Benign
1000000000.032246,0C0,60,00,00,00,00,00,00,00,Benign
1000000000.033259,26E,01,06,40,82,88,EA,0A,04,Benign
1000000000.034265,2AB,A4,D0,C9,D7,E2,D7,CA,FF,Benign
1000000000.034266,354,20,08,00,00,00,02,F8,00,Benign
1000000000.035288,5E1,89,3F,E0,0B,0A,00,D4,80,Benign
1000000000.03529,28B,00,00,00,00,00,00,00,00,Benign
1000000000.035291,00E,20,52,56,02,08,09,75,FC,Benign
1000000000.035293,0A7,00,10,F8,24,C1,2D,40,A0,Benign
1000000000.036263,2D2,00,00,50,00,00,00,00,00,Benign
1000000000.036264,55C,10,1B,00,00,41,82,30,00,Benign
1000000000.036265,6D7,41,01,CF,00,80,07,22,3C,Benign
1000000000.036266,12C,79,06,E0,00,00,01,FD,D0,Benign
1000000000.036267,125,90,00,41,5F,43,7D,CB,60,Benign
1000000000.038077,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.039076,4FD,11,3B,0A,4D,4F,0B,CA,88,Benign
1000000000.039078,193,00,08,08,03,E8,88,00,00,Benign
1000000000.040119,20E,4E,20,03,A0,C7,BF,AF,FF,Benign
1000000000.040121,522,DF,7F,D0,00,7E,18,00,1C,Benign
1000000000.040122,366,80,DD,C8,02,01,47,CE,38,Benign
1000000000.041121,580,00,00,00,03,E1,88,00,00,Benign
1000000000.041122,295,00,00,00,00,00,00,18,40,Benign
1000000000.041123,0D0,62,75,04,64,63,01,8C,00,Benign
1000000000.041124,033,00,07,80,00,0F,00,07,D0,Benign
1000000000.041125,434,01,46,80,AA,4E,E0,58,F0,Benign
1000000000.042119,6E0,01,5D,01,5C,01,5B,01,5B,Benign
1000000000.04212,498,87,FF,BF,FC,61,80,64,0A,Benign
1000000000.042121,230,FC,00,00,02,E4,00,06,00,Benign
1000000000.04335,3C1,7B,55,1F,BB,DD,47,69,2E,Benign
1000000000.044411,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.044413,2E1,00,00,00,00,00,00,00,04,Benign
1000000000.044414,354,20,08,00,00,00,02,F8,00,Benign
1000000000.045433,5E1,89,3F,E0,0B,0A,00,D8,80,Benign
1000000000.045434,00E,20,52,56,02,08,09,76,02,Benign
1000000000.045435,162,00,08,03,83,EA,11,F4,CE,Benign
1000000000.045436,0A7,00,10,F8,A4,C1,2D,40,A0,Benign
1000000000.046453,69E,04,40,04,82,1F,C0,15,82,Benign
1000000000.046454,125,90,00,41,5F,43,7D,AD,60,Benign
1000000000.048683,6E0,01,5F,01,5C,01,5B,01,5D,Benign
1000000000.050198,153,00,00,00,00,00,0C,00,02,Benign
1000000000.051235,662,4E,A0,00,00,40,00,00,00,Benign
1000000000.051236,19C,1A,80,20,0C,82,00,28,A0,Benign
1000000000.051237,0D0,6A,75,04,64,5F,01,8F,00,Benign
1000000000.051238,107,00,00,00,00,00,00,00,00,Benign
1000000000.052257,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.052258,033,00,07,78,00,0F,40,07,D0,Benign
1000000000.052259,274,00,F2,2D,EF,50,7C,8E,43,Benign
1000000000.05226,0C0,60,00,00,00,00,00,00,00,Benign
1000000000.053241,0BA,06,C8,09,04,10,00,04,88,Benign
1000000000.054275,354,20,08,00,00,00,02,F0,80,Benign
1000000000.055263,5E1,89,3F,E0,0B,0A,00,D8,80,Benign
1000000000.055264,28B,00,00,00,00,00,00,00,00,Benign
1000000000.055265,00E,20,52,56,02,08,09,75,FC,Benign
1000000000.055266,0A7,00,10,FB,A4,C1,2D,30,A0,Benign
1000000000.056297,407,50,01,5F,F0,15,40,BD,60,Benign
1000000000.056298,125,90,00,41,5F,43,7D,8F,60,Benign
1000000000.058117,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.05915,193,00,08,08,03,E8,88,00,00,Benign
1000000000.060193,20E,4E,20,07,A0,C8,3F,AF,FF,Benign
1000000000.060194,522,DF,7F,D0,00,7D,A0,00,1C,Benign
1000000000.060195,366,80,DD,C8,02,01,47,CE,38,Benign
1000000000.060196,580,00,00,00,03,DA,08,00,00,Benign
1000000000.061217,0D0,72,75,04,64,5E,01,8F,00,Benign
1000000000.061219,033,00,07,70,00,0F,80,07,D0,Benign
1000000000.06122,434,01,68,60,AA,5F,00,59,00,Benign
1000000000.061221,6E0,01,5F,01,5C,01,5E,01,5D,Benign
1000000000.0622,1E5,01,46,04,05,A8,41,A3,E0,Benign
1000000000.062215,498,87,FF,BF,FC,5E,80,64,8B,Benign
1000000000.062216,32D,00,00,04,20,AC,01,00,20,Benign
1000000000.063232,230,FB,00,00,02,E4,00,08,00,Benign
1000000000.064233,2C1,01,F3,EF,C7,C9,9F,B6,3E,Benign
1000000000.064234,2E1,00,00,00,00,00,00,00,04,Benign
1000000000.065255,354,20,08,00,00,00,02,E1,80,Benign
1000000000.065256,5E1,89,3F,E0,0B,0A,00,D4,80,Benign
1000000000.065257,00E,20,52,56,02,08,09,75,F0,Benign
1000000000.065258,162,00,08,03,83,EA,11,F4,CE,Benign
1000000000.066255,0A7,00,10,FB,A4,C1,2D,50,A0,Benign
1000000000.066256,69E,04,40,04,81,1F,C0,15,82,Benign
1000000000.067256,125,90,00,41,5F,43,7D,71,60,Benign
1000000000.068443,3C1,7B,55,1F,BC,9C,07,E9,2E,Benign
1000000000.069465,6E0,01,5B,01,5B,01,5E,01,60,Benign
1000000000.070483,4E7,00,00,00,15,03,67,00,00,Benign
1000000000.070484,153,00,00,00,00,00,0C,00,02,Benign
1000000000.071505,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.071506,295,00,00,00,00,00,00,18,40,Benign
1000000000.071507,107,00,00,00,00,00,00,00,00,Benign
1000000000.071508,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.072505,662,4E,A0,00,00,40,00,00,00,Benign
1000000000.072507,684,54,D6,77,D9,41,54,90,1E,Benign
1000000000.072508,636,24,9C,79,80,EF,84,00,00,Benign
1000000000.072509,2D7,10,00,60,D8,00,00,00,08,Benign
1000000000.073526,19C,1E,7C,20,0C,82,00,28,A0,Benign
1000000000.073527,0D0,7A,75,04,64,5B,01,91,00,Benign
1000000000.073528,033,00,07,68,00,0F,C0,07,D0,Benign
1000000000.073529,274,00,F2,2F,ED,50,7C,8E,41,Benign
1000000000.07454,0C0,60,00,00,00,00,00,00,00,Benign
1000000000.074541,0F1,3E,10,1C,C0,03,59,CC,00,Benign
1000000000.074542,3E4,00,CC,00,00,85,00,00,00,Benign
1000000000.074543,354,20,08,00,00,00,02,E1,80,Benign
1000000000.075549,5E1,89,3F,E0,0B,0A,00,D0,80,Benign
1000000000.07555,28B,00,00,00,00,00,00,00,00,Benign
1000000000.075551,00E,20,52,56,02,08,09,75,F6,Benign
1000000000.075552,2E2,18,08,0D,40,40,00,01,18,Benign
1000000000.075552,345,05,02,02,C2,3C,77,40,81,Benign
1000000000.076568,430,00,32,44,8B,EA,80,11,A0,Benign
1000000000.076569,125,90,00,41,5F,43,7D,53,60,Benign
1000000000.07657,0A7,00,10,F9,24,C1,2D,50,A0,Benign
1000000000.076571,130,00,01,50,00,00,00,00,00,Benign
1000000000.077569,03D,00,00,04,80,00,00,00,00,Benign
1000000000.07757,65C,40,08,E2,75,30,00,00,00,Benign
1000000000.077571,577,00,00,08,00,00,00,01,4E,Benign
1000000000.078587,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.079608,193,00,08,08,03,E8,88,00,00,Benign
1000000000.079609,20E,4E,20,07,A0,C9,3F,AF,FF,Benign
1000000000.080607,522,DF,7F,D0,00,7D,28,00,1C,Benign
1000000000.080608,366,80,DD,C8,02,01,47,CE,38,Benign
1000000000.080609,580,00,00,00,03,D2,88,00,00,Benign
1000000000.08061,0D0,02,75,04,64,6A,01,91,00,Benign
1000000000.081629,033,00,07,E0,00,0C,00,07,D0,Benign
1000000000.08163,434,01,86,C0,AA,7F,10,69,10,Benign
1000000000.081631,6E0,01,5B,01,5B,01,61,01,60,Benign
1000000000.081632,498,87,FF,BF,FC,59,80,65,8C,Benign
1000000000.082658,464,00,02,40,00,00,90,12,5C,Benign
1000000000.082659,230,FA,00,00,02,E4,00,0A,00,Benign
1000000000.08266,66C,00,00,00,00,20,00,00,00,Benign
1000000000.084116,2E1,00,00,00,00,00,00,00,04,Benign
1000000000.085134,354,20,08,00,00,00,02,DA,00,Benign
1000000000.085135,5E1,89,3F,E0,0B,0A,00,D4,80,Benign
1000000000.085136,00E,20,52,56,02,08,09,75,EA,Benign
1000000000.085137,162,00,08,03,73,EA,11,F4,CE,Benign
1000000000.086133,0A7,00,10,F8,24,C1,2D,50,A0,Benign
1000000000.086134,69E,04,40,04,81,20,00,15,82,Benign
1000000000.087153,125,90,00,41,5F,43,7D,35,60,Benign
1000000000.088715,6E0,01,5B,01,5A,01,61,01,62,Benign
1000000000.089719,4FD,11,34,0A,4C,47,0A,4A,88,Benign
1000000000.0907,153,00,00,00,00,00,0C,00,02,Benign
1000000000.090701,662,4E,A0,00,00,40,00,00,00,Benign
1000000000.090702,19C,02,98,20,0C,82,00,28,A0,Benign
1000000000.091716,107,00,00,00,00,00,00,00,00,Benign
1000000000.091717,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.091718,0D0,0A,75,04,64,65,01,95,00,Benign
1000000000.091719,033,00,07,D8,00,0C,40,07,D0,Benign
1000000000.092748,274,00,F2,21,FB,50,7C,8E,41,Benign
1000000000.09275,0C0,60,00,00,00,00,00,00,00,Benign
1000000000.092751,0BA,06,C8,09,44,10,00,04,88,Benign
1000000000.092756,041,80,22,00,20,01,00,00,00,Benign
1000000000.093801,3C1,7B,55,1F,BB,9C,48,A9,2E,Benign
1000000000.094812,354,20,08,00,00,00,02,DA,00,Benign
1000000000.094813,5E1,89,3F,E0,0B,0A,00,D8,80,Benign
1000000000.094814,28B,00,00,00,00,00,00,00,00,Benign
1000000000.095813,00E,20,52,56,02,08,09,76,02,Benign
1000000000.095814,585,00,40,00,00,00,02,00,18,Benign
1000000000.095815,0A7,00,10,FA,A4,C1,2D,50,A0,Benign
1000000000.095816,1CA,3F,F1,FF,80,00,00,0C,28,Benign
1000000000.096783,125,90,00,41,5F,43,7D,17,60,Benign
1000000000.097902,FFF,00,00,00,00,00,00,00,00,Benign
1000000000.098923,193,00,08,08,03,E8,88,00,00,Benign
1000000000.09996,20E,4E,20,03,A0,C9,BF,AF,FF,Benign
1000000000.099961,522,DF,7F,D0,00,7C,B0,00,1C,Benign
1000000000.099962,366,80,DD,C8,02,01,47,CE,38,Benign
1000000000.099963,580,00,00,00,03,CB,08,00,00,Benign
1000000000.100978,295,00,00,00,00,00,00,18,40,Benign
1000000000.100979,0D0,12,75,04,64,64,01,95,00,Benign
1000000000.10098,033,00,07,D0,00,0C,80,07,D0,Benign
1000000000.100981,434,01,A6,00,AA,8F,20,89,30,Benign
1000000000.10195,6E0,01,5B,01,5A,01,63,01,62,Benign
1000000000.101951,498,87,FF,BF,FC,55,80,66,4D,Benign
1000000000.101952,230,F9,00,00,02,E4,00,0C,00,Benign
1000000000.104072,2E1,00,00,00,00,00,00,00,04,Benign
1000000000.10509,354,20,08,40,00,00,02,C3,00,Benign
1000000000.105091,5E1,89,3F,E0,0B,0A,00,D8,80,Benign
